line_state_id,line,start_time,end_time,process_order
16331990-437B-4FC2-89ED-2ACDA24990B2/0,L2A,2022-06-19 01:04:42,2022-06-19 01:11:06,916939573
FE6E4086-D479-46AA-B012-6B63F27F9A73/0,L2B,2022-06-19 01:04:42,2022-06-19 01:04:52,916939573
FE6E4086-D479-46AA-B012-6B63F27F9A73/1,L2B,2022-06-19 01:04:52,2022-06-19 01:19:13,916939573
A0993623-C6AC-44CB-BEEB-AE9F69701BB3/1,L1B,2022-06-19 01:05:25,2022-06-19 01:05:43,916939569
80AC45F5-DB4A-42C6-9510-031DCE463288/0,L1B,2022-06-19 01:05:43,2022-06-19 01:15:41,916939569
E3EA3A1A-BCB5-4757-8E96-F9BD614509EB/0,L1A,2022-06-19 01:05:43,2022-06-19 01:15:54,916939548
E895E214-F76D-4434-B264-ED6A0E14BD1D/0,L1C,2022-06-19 01:05:43,2022-06-19 01:06:49,916939569
E895E214-F76D-4434-B264-ED6A0E14BD1D/1,L1C,2022-06-19 01:06:49,2022-06-19 01:07:32,916939569
E895E214-F76D-4434-B264-ED6A0E14BD1D/2,L1C,2022-06-19 01:07:32,2022-06-19 01:13:32,916939569
16331990-437B-4FC2-89ED-2ACDA24990B2/1,L2A,2022-06-19 01:11:06,2022-06-19 01:11:58,916939573
16331990-437B-4FC2-89ED-2ACDA24990B2/2,L2A,2022-06-19 01:11:58,2022-06-19 01:48:53,916939573
E895E214-F76D-4434-B264-ED6A0E14BD1D/3,L1C,2022-06-19 01:13:32,2022-06-19 01:13:35,916939569
E895E214-F76D-4434-B264-ED6A0E14BD1D/4,L1C,2022-06-19 01:13:35,2022-06-19 01:15:55,916939569
80AC45F5-DB4A-42C6-9510-031DCE463288/1,L1B,2022-06-19 01:15:41,2022-06-19 01:15:54,916939569
80AC45F5-DB4A-42C6-9510-031DCE463288/2,L1B,2022-06-19 01:15:54,2022-06-19 01:15:55,916939569
E3EA3A1A-BCB5-4757-8E96-F9BD614509EB/1,L1A,2022-06-19 01:15:54,2022-06-19 01:15:55,916939548
08AC211D-A18D-41B6-AF62-76E066EF648B/0,L1C,2022-06-19 01:15:55,2022-06-19 01:17:32,916939569
B4EE2DCC-5199-4F0F-BD37-19077D0DA701/0,L1A,2022-06-19 01:15:55,2022-06-19 01:17:32,916939548
BF9BF2CB-C133-47CE-8C22-9D8F36509B98/0,L1B,2022-06-19 01:15:55,2022-06-19 01:17:32,916939569
08AC211D-A18D-41B6-AF62-76E066EF648B/1,L1C,2022-06-19 01:17:32,2022-06-19 01:17:33,916939569
B4EE2DCC-5199-4F0F-BD37-19077D0DA701/1,L1A,2022-06-19 01:17:32,2022-06-19 01:17:33,916939548
BF9BF2CB-C133-47CE-8C22-9D8F36509B98/1,L1B,2022-06-19 01:17:32,2022-06-19 01:17:33,916939569
2D987019-EFDF-42A1-8F4E-837D60508720/0,L1C,2022-06-19 01:17:33,2022-06-19 01:19:17,916939569
6861997E-6986-4AB3-A413-FBC7F6F56C79/0,L1A,2022-06-19 01:17:33,2022-06-19 01:22:15,916939548
9C7F2444-4938-4D56-8599-47979B6B538A/0,L1B,2022-06-19 01:17:33,2022-06-19 01:19:55,916939569
FE6E4086-D479-46AA-B012-6B63F27F9A73/2,L2B,2022-06-19 01:19:13,2022-06-19 01:19:32,916939573
2D987019-EFDF-42A1-8F4E-837D60508720/1,L1C,2022-06-19 01:19:17,2022-06-19 01:20:20,916939569
FE6E4086-D479-46AA-B012-6B63F27F9A73/3,L2B,2022-06-19 01:19:32,2022-06-19 01:48:53,916939573
9C7F2444-4938-4D56-8599-47979B6B538A/1,L1B,2022-06-19 01:19:55,2022-06-19 01:20:21,916939569
2D987019-EFDF-42A1-8F4E-837D60508720/2,L1C,2022-06-19 01:20:20,2022-06-19 01:21:38,916939569
9C7F2444-4938-4D56-8599-47979B6B538A/2,L1B,2022-06-19 01:20:21,2022-06-19 01:20:28,916939569
9C7F2444-4938-4D56-8599-47979B6B538A/3,L1B,2022-06-19 01:20:28,2022-06-19 01:21:20,916939569
9C7F2444-4938-4D56-8599-47979B6B538A/4,L1B,2022-06-19 01:21:20,2022-06-19 01:22:14,916939569
2D987019-EFDF-42A1-8F4E-837D60508720/3,L1C,2022-06-19 01:21:38,2022-06-19 01:21:47,916939569
2D987019-EFDF-42A1-8F4E-837D60508720/4,L1C,2022-06-19 01:21:47,2022-06-19 01:22:15,916939569
9C7F2444-4938-4D56-8599-47979B6B538A/5,L1B,2022-06-19 01:22:14,2022-06-19 01:22:15,916939569
877F6847-99ED-400F-B88B-0C22EDFFAD17/0,L1B,2022-06-19 01:22:15,2022-06-19 01:39:18,916939569
D0BBAA6F-201E-4B31-800E-979A5432A68E/0,L1C,2022-06-19 01:22:15,2022-06-19 01:39:18,916939569
EB0645E9-880C-4BD1-AA32-58C120C145AA/0,L1A,2022-06-19 01:22:15,2022-06-19 01:39:18,916939548
7A25D9E8-51DE-48A7-91B4-357B127CD469/0,L1B,2022-06-19 01:39:18,2022-06-19 01:39:27,916939569
D4467D59-518C-4841-8E38-0EFD9B1EDA6D/0,L1A,2022-06-19 01:39:18,2022-06-19 01:39:27,916939548
F868A594-F6A1-4C78-8525-3FA59BB4C018/0,L1C,2022-06-19 01:39:18,2022-06-19 01:39:27,916939569
81115545-8752-4643-926E-6A0DC814500B/0,L1B,2022-06-19 01:39:27,2022-06-19 01:48:58,916939569
92210082-E7BD-4DD7-8994-A6A8D455ACA9/0,L1C,2022-06-19 01:39:27,2022-06-19 01:48:58,916939569
E0E6378C-AF96-40A8-8302-0208D3FFEC94/0,L1A,2022-06-19 01:39:27,2022-06-19 01:48:58,916939548
D53CA152-EC0B-42AD-A46F-4E8151A7664D/0,L2B,2022-06-19 01:48:53,2022-06-19 01:48:58,916939573
F025E925-042A-41D4-AC70-74C26CB95E69/0,L2A,2022-06-19 01:48:53,2022-06-19 01:48:58,916939573
81115545-8752-4643-926E-6A0DC814500B/1,L1B,2022-06-19 01:48:58,2022-06-19 01:48:59,916939569
92210082-E7BD-4DD7-8994-A6A8D455ACA9/1,L1C,2022-06-19 01:48:58,2022-06-19 01:48:59,916939569
B61C85B2-5850-4AD8-8C59-A994793E0669/0,L2A,2022-06-19 01:48:58,2022-06-19 01:51:14,916939573
E0E6378C-AF96-40A8-8302-0208D3FFEC94/1,L1A,2022-06-19 01:48:58,2022-06-19 01:48:59,916939548
F553A7FB-0C49-40FE-B807-6CB70DDFE67F/0,L2B,2022-06-19 01:48:58,2022-06-19 01:51:14,916939573
5106D7A7-C5EE-4F5D-982F-2D7477D94D0D/0,L1A,2022-06-19 01:48:59,2022-06-19 01:49:05,916939548
890B5160-7CB6-4CA7-9F83-4280B015A513/0,L1B,2022-06-19 01:48:59,2022-06-19 01:49:05,916939569
F6198C14-8453-4758-A535-CF7DA3DEEAD1/0,L1C,2022-06-19 01:48:59,2022-06-19 01:49:05,916939569
5106D7A7-C5EE-4F5D-982F-2D7477D94D0D/1,L1A,2022-06-19 01:49:05,2022-06-19 01:49:06,916939548
